54.0,-180.0,3.07
54.0,-179.0,3.54
54.0,-178.0,4.0
54.0,-177.0,4.47
54.0,-176.0,4.93
54.0,-175.0,5.39
54.0,-174.0,5.84
54.0,-173.0,6.29
54.0,-172.0,6.74
54.0,-171.0,7.19
54.0,-170.0,7.63
54.0,-169.0,8.06
54.0,-168.0,8.5
54.0,-167.0,8.93
54.0,-166.0,9.35
54.0,-165.0,9.77
54.0,-164.0,10.18
54.0,-163.0,10.58
54.0,-162.0,10.98
54.0,-161.0,11.38
54.0,-160.0,11.76
54.0,-159.0,12.14
54.0,-158.0,12.51
54.0,-157.0,12.87
54.0,-156.0,13.23
54.0,-155.0,13.58
54.0,-154.0,13.91
54.0,-153.0,14.24
54.0,-152.0,14.56
54.0,-151.0,14.86
54.0,-150.0,15.16
54.0,-149.0,15.45
54.0,-148.0,15.72
54.0,-147.0,15.98
54.0,-146.0,16.23
54.0,-145.0,16.47
54.0,-144.0,16.69
54.0,-143.0,16.9
54.0,-142.0,17.1
54.0,-141.0,17.28
54.0,-140.0,17.44
54.0,-139.0,17.59
54.0,-138.0,17.73
54.0,-137.0,17.85
54.0,-136.0,17.95
54.0,-135.0,18.03
54.0,-134.0,18.1
54.0,-133.0,18.14
54.0,-132.0,18.17
54.0,-131.0,18.18
54.0,-130.0,18.17
54.0,-129.0,18.13
54.0,-128.0,18.08
54.0,-127.0,18.0
54.0,-126.0,17.9
54.0,-125.0,17.78
54.0,-124.0,17.63
54.0,-123.0,17.46
54.0,-122.0,17.26
54.0,-121.0,17.04
54.0,-120.0,16.79
54.0,-119.0,16.51
54.0,-118.0,16.2
54.0,-117.0,15.86
54.0,-116.0,15.5
54.0,-115.0,15.1
54.0,-114.0,14.67
54.0,-113.0,14.21
54.0,-112.0,13.71
54.0,-111.0,13.18
54.0,-110.0,12.62
54.0,-109.0,12.02
54.0,-108.0,11.39
54.0,-107.0,10.73
54.0,-106.0,10.03
54.0,-105.0,9.3
54.0,-104.0,8.53
54.0,-103.0,7.73
54.0,-102.0,6.91
54.0,-101.0,6.05
54.0,-100.0,5.16
54.0,-99.0,4.25
54.0,-98.0,3.31
54.0,-97.0,2.35
54.0,-96.0,1.38
54.0,-95.0,0.39
54.0,-94.0,-0.62
54.0,-93.0,-1.63
54.0,-92.0,-2.64
54.0,-91.0,-3.66
54.0,-90.0,-4.68
54.0,-89.0,-5.68
54.0,-88.0,-6.68
54.0,-87.0,-7.66
54.0,-86.0,-8.63
54.0,-85.0,-9.57
54.0,-84.0,-10.49
54.0,-83.0,-11.37
54.0,-82.0,-12.23
54.0,-81.0,-13.06
54.0,-80.0,-13.85
54.0,-79.0,-14.6
54.0,-78.0,-15.31
54.0,-77.0,-15.99
54.0,-76.0,-16.62
54.0,-75.0,-17.21
54.0,-74.0,-17.76
54.0,-73.0,-18.27
54.0,-72.0,-18.74
54.0,-71.0,-19.16
54.0,-70.0,-19.55
54.0,-69.0,-19.89
54.0,-68.0,-20.19
54.0,-67.0,-20.46
54.0,-66.0,-20.68
54.0,-65.0,-20.87
54.0,-64.0,-21.03
54.0,-63.0,-21.14
54.0,-62.0,-21.23
54.0,-61.0,-21.29
54.0,-60.0,-21.31
54.0,-59.0,-21.3
54.0,-58.0,-21.27
54.0,-57.0,-21.21
54.0,-56.0,-21.12
54.0,-55.0,-21.01
54.0,-54.0,-20.88
54.0,-53.0,-20.72
54.0,-52.0,-20.55
54.0,-51.0,-20.35
54.0,-50.0,-20.14
54.0,-49.0,-19.9
54.0,-48.0,-19.66
54.0,-47.0,-19.39
54.0,-46.0,-19.11
54.0,-45.0,-18.82
54.0,-44.0,-18.52
54.0,-43.0,-18.2
54.0,-42.0,-17.87
54.0,-41.0,-17.53
54.0,-40.0,-17.19
54.0,-39.0,-16.83
54.0,-38.0,-16.46
54.0,-37.0,-16.09
54.0,-36.0,-15.71
54.0,-35.0,-15.32
54.0,-34.0,-14.92
54.0,-33.0,-14.52
54.0,-32.0,-14.12
54.0,-31.0,-13.71
54.0,-30.0,-13.29
54.0,-29.0,-12.87
54.0,-28.0,-12.45
54.0,-27.0,-12.03
54.0,-26.0,-11.6
54.0,-25.0,-11.17
54.0,-24.0,-10.73
54.0,-23.0,-10.3
54.0,-22.0,-9.86
54.0,-21.0,-9.42
54.0,-20.0,-8.99
54.0,-19.0,-8.55
54.0,-18.0,-8.11
54.0,-17.0,-7.67
54.0,-16.0,-7.24
54.0,-15.0,-6.8
54.0,-14.0,-6.37
54.0,-13.0,-5.94
54.0,-12.0,-5.51
54.0,-11.0,-5.09
54.0,-10.0,-4.67
54.0,-9.0,-4.25
54.0,-8.0,-3.83
54.0,-7.0,-3.42
54.0,-6.0,-3.02
54.0,-5.0,-2.62
54.0,-4.0,-2.22
54.0,-3.0,-1.83
54.0,-2.0,-1.44
54.0,-1.0,-1.06
54.0,0.0,-0.68
54.0,1.0,-0.31
54.0,2.0,0.06
54.0,3.0,0.42
54.0,4.0,0.77
54.0,5.0,1.12
54.0,6.0,1.47
54.0,7.0,1.81
54.0,8.0,2.14
54.0,9.0,2.48
54.0,10.0,2.8
54.0,11.0,3.12
54.0,12.0,3.44
54.0,13.0,3.75
54.0,14.0,4.06
54.0,15.0,4.37
54.0,16.0,4.67
